Date,Close,High,P_H,Low,P_L,Signal,asset1_returns,strategy_returns
2022-09-19 11:37:38,3876.0,3876.0,3875.811909457672,3875.75,3875.657320320337,-1,6.450364445598211e-05,-6.450364445598211e-05
2022-09-19 11:37:40,3875.5,3875.5,3875.5890594299294,3875.5,3875.385485022131,-1,-0.00012899896800822042,0.00012899896800822042
2022-09-19 11:37:42,3875.0,3875.5,3875.5580173656303,3875.0,3875.384883853839,-1,-0.00012901561088896063,0.00012901561088896063
2022-09-19 11:37:44,3875.0,3875.0,3875.041928073536,3875.0,3874.912065731199,-1,0.0,-0.0
2022-09-19 11:37:46,3874.75,3875.0,3875.065224394925,3874.75,3874.9006024629352,-1,-6.45161290322438e-05,6.45161290322438e-05
2022-09-19 11:37:48,3875.0,3875.0,3874.821505328644,3874.75,3874.6543706894754,-1,6.45202916316201e-05,-6.45202916316201e-05
2022-09-19 11:37:50,3875.5,3875.5,3875.074498730467,3875.0,3874.8828924222153,-1,0.0001290322580644876,-0.0001290322580644876
2022-09-19 11:37:52,3875.5,3875.5,3875.584267004256,3875.5,3875.387125055426,-1,0.0,-0.0
2022-09-19 11:37:54,3875.25,3875.25,3875.3184851686215,3875.25,3875.16023135206,-1,-6.45078054444248e-05,6.45078054444248e-05
2022-09-19 11:37:56,3875.25,3875.25,3875.292451458738,3875.25,3875.143632155461,-1,0.0,-0.0
2022-09-19 11:37:58,3875.5,3875.5,3875.548481723085,3875.5,3875.400851975129,-1,6.451196696977135e-05,-6.451196696977135e-05
2022-09-19 11:38:00,3875.25,3875.25,3875.3352863733935,3875.25,3875.144085191164,-1,-6.45078054444248e-05,6.45078054444248e-05
